run_path,dataset,method,seed,arch,class_per_task,n_tasks,n_forget,final_avg_accuracy,average_forgetting,Fu,WorstDrop,Au,t_reset,t_retrain,t_forget_total,num_updated_params,overlap_s_t,overlap_s_share,overlap_s_share_crit,overlap_s_share_ratio,overlap_s_share_crit_ratio
runs/cifar10/T5_F1/pall_modified/seed_0/20260420_161516,cifar10,pall_modified,0,subnet_resnet18,2,5,1,0.9198749959468842,0.0687000036239624,-0.0010000020265579224,0.0,0.5,0.001337374997092411,0.3739216250105528,0.3752590000076452,1317858,2232887,1317858,263572,0.5902036242765532,0.20000030352283782
runs/cifar10/T5_F1/pall_modified/seed_1/20260420_170357,cifar10,pall_modified,1,subnet_resnet18,2,5,1,0.9296249896287918,0.09375,0.0,0.0,0.49950000643730164,0.0014438330108532682,0.2646910829935223,0.26613491600437555,446641,2232887,446641,89329,0.20002848330434994,0.20000179114770028
runs/cifar10/T5_F1/pall_original/seed_0/20260420_155955,cifar10,pall_original,0,subnet_resnet18,2,5,1,0.9177500009536743,0.07039999961853027,0.0011249929666519165,0.00550001859664917,0.5,0.0014092920027906075,0.23809325000911485,0.23950254201190546,1317858,2232887,1317858,1317858,0.5902036242765532,1.0
runs/cifar10/T5_F1/pall_original/seed_1/20260420_165016,cifar10,pall_original,1,subnet_resnet18,2,5,1,0.9307499974966049,0.09174999594688416,0.0,0.0,0.49950000643730164,0.001305957994190976,0.22655279199534561,0.2278587499895366,446641,2232887,446641,446641,0.20002848330434994,1.0
