Method,Dataset,Final Avg Acc,Avg Forgetting,Fu,WorstDrop,Au,Retrain Time
pall_modified,cifar100,0.5456 ± 0.0188,0.0859 ± 0.0004,-0.0063 ± 0.0032,0.0140 ± 0.0085,0.1990 ± 0.0014,11.3155 ± 0.0357
pall_original,cifar100,0.4124 ± 0.0143,0.1485 ± 0.0191,0.0331 ± 0.0057,0.0770 ± 0.0127,0.2000 ± 0.0000,0.1758 ± 0.0001
