Method,Dataset,Final Avg Acc,Avg Forgetting,Fu,WorstDrop,Au,Retrain Time
pall_adapter,cifar10,0.7889 ± 0.0324,0.0412 ± 0.0303,-0.0044 ± 0.0004,-0.0000 ± 0.0007,0.4720 ± 0.0396,0.0676 ± 0.0014
pall_modified,cifar10,0.9212 ± 0.0148,0.0810 ± 0.0127,-0.0003 ± 0.0077,0.0060 ± 0.0049,0.4922 ± 0.0110,9.4219 ± 0.0326
pall_original,cifar10,0.9174 ± 0.0198,0.0829 ± 0.0151,0.0035 ± 0.0027,0.0130 ± 0.0099,0.4980 ± 0.0028,0.2483 ± 0.0152
