run_path,experiment_tag,dataset,method,seed,arch,class_per_task,n_tasks,n_forget,n_epochs,protect_ratio,lambda_protect,retrain_steps,request_schedule_file,final_avg_accuracy,average_forgetting,Fu,WorstDrop,Au,t_reset,t_retrain,t_forget_total,num_updated_params,overlap_s_t,overlap_s_share,overlap_s_share_crit,overlap_s_share_ratio,overlap_s_share_crit_ratio
runs/cifar10/T5_F3/pall_modified/seed_0/20260423_133144,thesis_fixed_schedule_c10_v1,cifar10,pall_modified,0,subnet_resnet18,2,5,3,3,0.2,0.1,50,/Users/fateme/Documents/Uni/project/my thesis/code/Overlap-Aware-Selective-Forgetting-/schedules/test_schedule.json,0.9316249936819077,0.07200000286102295,0.005125001072883606,0.00950002670288086,0.5,0.0014150000060908496,9.444982832996175,9.446397833002266,1317794,2232887,1317794,263559,0.5901749618319243,0.20000015176878935
runs/cifar10/T5_F3/pall_modified/seed_1/20260423_135057,thesis_fixed_schedule_c10_v1,cifar10,pall_modified,1,subnet_resnet18,2,5,3,3,0.2,0.1,50,/Users/fateme/Documents/Uni/project/my thesis/code/Overlap-Aware-Selective-Forgetting-/schedules/test_schedule.json,0.91075000166893,0.0899999976158142,-0.005750000476837158,0.002499997615814209,0.484499990940094,0.001414875005139038,9.398914124991279,9.400328999996418,1317615,2232887,1317615,263523,0.590094796557103,0.2
runs/cifar10/T5_F3/pall_original/seed_0/20260423_132211,thesis_fixed_schedule_c10_v1,cifar10,pall_original,0,subnet_resnet18,2,5,3,3,,0.0,,/Users/fateme/Documents/Uni/project/my thesis/code/Overlap-Aware-Selective-Forgetting-/schedules/test_schedule.json,0.9313749969005585,0.0722000002861023,0.005374997854232788,0.019999980926513672,0.5,0.0014415000041481107,0.25905900000361726,0.26050050000776537,1317794,2232887,1317794,1317794,0.5901749618319243,1.0
runs/cifar10/T5_F3/pall_original/seed_1/20260423_134102,thesis_fixed_schedule_c10_v1,cifar10,pall_original,1,subnet_resnet18,2,5,3,3,,0.0,,/Users/fateme/Documents/Uni/project/my thesis/code/Overlap-Aware-Selective-Forgetting-/schedules/test_schedule.json,0.9033749997615814,0.09359999895095825,0.0016250014305114746,0.0059999823570251465,0.4959999918937683,0.0018565829959698021,0.23756733298068866,0.23942391597665846,1317615,2232887,1317615,1317615,0.590094796557103,1.0
runs/cifar10/T5_F3/pall_adapter/seed_0/20260426_175812,adapter_c10_fixed_v1,cifar10,pall_adapter,0,adapter_resnet18,2,5,3,3,,0.0,,/Users/fateme/Documents/Uni/project/my thesis/code/Overlap-Aware-Selective-Forgetting-/schedules/cifar10_t5_f3_fixed_seed0.json,0.8118750005960464,0.019799983501434325,-0.00475001335144043,0.0004999637603759766,0.5,0.00593170800129883,0.06857166698318906,3.272122832975583,69632,17408,0,0,0.0,0.0
runs/cifar10/T5_F3/pall_adapter/seed_1/20260426_175937,adapter_c10_fixed_v1,cifar10,pall_adapter,1,adapter_resnet18,2,5,3,3,,0.0,,/Users/fateme/Documents/Uni/project/my thesis/code/Overlap-Aware-Selective-Forgetting-/schedules/cifar10_t5_f3_fixed_seed0.json,0.7660000026226044,0.06269999742507934,-0.004124999046325684,-0.000500023365020752,0.4440000057220459,0.004054458986502141,0.06654904200695455,3.1537482920102775,69632,17408,0,0,0.0,0.0
