run_path,experiment_tag,dataset,method,seed,arch,class_per_task,n_tasks,n_forget,n_epochs,adapter_bottleneck,adapter_train_classifier,adapter_location,protect_ratio,lambda_protect,retrain_steps,request_schedule_file,final_avg_accuracy,average_forgetting,Fu,WorstDrop,Au,t_reset,t_retrain,t_forget_total,num_updated_params,overlap_s_t,overlap_s_share,overlap_s_share_crit,overlap_s_share_ratio,overlap_s_share_crit_ratio
runs/cifar10/T5_F3/pall_adapter/seed_0/20260427_105902,adapter_c10_bottleneck_ablation_v1,cifar10,pall_adapter,0,adapter_resnet18,2,5,3,3,16,True,residual,,0.0,,/Users/fateme/Documents/Uni/project/my thesis/code/Overlap-Aware-Selective-Forgetting-/schedules/cifar10_t5_f3_fixed_seed0.json,0.8118750005960464,0.019799983501434325,-0.00475001335144043,0.0004999637603759766,0.5,0.01243354199687019,0.08126533398171887,3.187671416992089,69632,17408,0,0,0.0,0.0
runs/cifar10/T5_F3/pall_adapter/seed_0/20260427_110115,adapter_c10_bottleneck_ablation_v1,cifar10,pall_adapter,0,adapter_resnet18,2,5,3,3,32,True,residual,,0.0,,/Users/fateme/Documents/Uni/project/my thesis/code/Overlap-Aware-Selective-Forgetting-/schedules/cifar10_t5_f3_fixed_seed0.json,0.8125,0.012999999523162841,-0.002499997615814209,-0.001000046730041504,0.5,0.0055065000196918845,0.21012775000417605,3.4091749169747345,135168,33792,0,0,0.0,0.0
runs/cifar10/T5_F3/pall_adapter/seed_0/20260427_110920,adapter_c10_bottleneck_ablation_v1,cifar10,pall_adapter,0,adapter_resnet18,2,5,3,3,64,True,residual,,0.0,,/Users/fateme/Documents/Uni/project/my thesis/code/Overlap-Aware-Selective-Forgetting-/schedules/cifar10_t5_f3_fixed_seed0.json,0.8114999979734421,0.019900012016296386,-0.002249985933303833,0.0,0.5,0.006845791998784989,0.11417329200776294,3.494337957992684,266240,66560,0,0,0.0,0.0
