run_path,experiment_tag,dataset,method,seed,arch,class_per_task,n_tasks,n_forget,final_avg_accuracy,average_forgetting,Fu,WorstDrop,Au,t_reset,t_retrain,t_forget_total,num_updated_params,overlap_s_t,overlap_s_share,overlap_s_share_crit,overlap_s_share_ratio,overlap_s_share_crit_ratio
runs/cifar100/T10_F3/pall_modified/seed_0/20260423_155615,thesis_fixed_schedule_c100_v1,cifar100,pall_modified,0,subnet_resnet18,5,10,3,0.4594285786151886,0.06899998784065246,-0.0005714467593601613,0.013999998569488525,0.20000000298023224,0.0013306250039022416,11.277229291998083,11.278559917001985,1764124,2234423,1764124,352825,0.7895210530861883,0.20000011337071544
runs/cifar100/T10_F3/pall_modified/seed_0/20260423_160702,thesis_fixed_schedule_c100_v1,cifar100,pall_modified,0,subnet_resnet18,5,10,3,0.5588571429252625,0.08560000211000443,-0.008571428912026557,0.008000016212463379,0.20000000298023224,0.0015446670004166663,11.290234124986455,11.291778791986872,1764240,2234423,1764240,352848,0.7895729680548401,0.2
runs/cifar100/T10_F3/pall_modified/seed_1/20260423_162315,thesis_fixed_schedule_c100_v1,cifar100,pall_modified,1,subnet_resnet18,5,10,3,0.5322857115949903,0.0862000048160553,-0.003999986818858492,0.020000040531158447,0.1979999989271164,0.0013792920217383653,11.340765707980609,11.342145000002347,1764520,2234423,1764520,352905,0.7896982800481377,0.20000056672636185
runs/cifar100/T10_F3/pall_original/seed_0/20260423_155015,thesis_fixed_schedule_c100_v1,cifar100,pall_original,0,subnet_resnet18,5,10,3,0.3357142869915281,0.10599999129772186,0.019999997956412163,0.07599997520446777,0.20000000298023224,0.001367832999676466,0.16821074998006225,0.1695785829797387,1764117,2234423,1764117,1764117,0.7895179202863558,1.0
runs/cifar100/T10_F3/pall_original/seed_0/20260423_160205,thesis_fixed_schedule_c100_v1,cifar100,pall_original,0,subnet_resnet18,5,10,3,0.4022857142346246,0.16199999898672104,0.037142857909202576,0.085999995470047,0.20000000298023224,0.0014133329968899488,0.17570316599449143,0.17711649899138138,1764147,2234424,1764147,1764147,0.7895309932224144,1.0
runs/cifar100/T10_F3/pall_original/seed_1/20260423_161436,thesis_fixed_schedule_c100_v1,cifar100,pall_original,1,subnet_resnet18,5,10,3,0.4225714249270303,0.13499999344348906,0.02914285659790039,0.06800001859664917,0.20000000298023224,0.0013806670031044632,0.17590162498527206,0.17728229198837653,1764691,2234423,1764691,1764691,0.7897748098726158,1.0
